Link;Address;Neighbor;Area;Type;Rooms;Bathrooms;Parking;Price
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-londrina-com-garagem-62m2-venda-RS340000-id-2646835747/;Rua Prefeito Hugo Cabral, 907 - Centro, Londrina - PR; Centro;62;Apartamento;1;2;1;340000
https://www.vivareal.com.br/imovel/casa-2-quartos-vila-nova-bairros-londrina-com-garagem-129m2-venda-RS225000-id-2646756120/;Rua Mamoré - Vila Nova, Londrina - PR; Vila Nova;129;Casa;2;2;1;225000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-46m2-venda-RS270000-id-2647481089/;Rua Alagoas - Centro, Londrina - PR; Centro;46;Apartamento;2;1;1;270000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-73m2-venda-RS250000-id-2654182160/;Rua Cambará - Centro, Londrina - PR; Centro;73;Apartamento;3;2;1;250000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-60m2-venda-RS280000-id-2682454640/;Rua Mato Grosso - Centro, Londrina - PR; Centro;60;Apartamento;2;1;1;280000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vitoria-regia-bairros-londrina-com-garagem-61m2-venda-RS180000-id-2536198674/;Rua Graúna - Vitoria Regia, Londrina - PR; Vitoria Regia;61;Apartamento;3;1;1;180000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-brasil-bairros-londrina-com-garagem-54m2-venda-RS240000-id-2623903206/;Rua Argentina - Vila Brasil, Londrina - PR; Vila Brasil;54;Apartamento;2;2;1;240000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-81m2-venda-RS320000-id-2669897094/;Rua Espírito Santo - Centro, Londrina - PR; Centro;81;Apartamento;3;3;1;320000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-70m2-venda-RS295000-id-2665261595/;Rua Belo Horizonte, 99 - Centro, Londrina - PR; Centro;70;Apartamento;3;3;1;295000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-63m2-venda-RS335000-id-2623905840/;Rua Guararapes - Centro, Londrina - PR; Centro;63;Apartamento;2;1;2;335000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-43m2-venda-RS225000-id-2676664513/;Rua Alagoas - Centro, Londrina - PR; Centro;43;Apartamento;2;1;1;225000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-londrina-com-garagem-34m2-venda-RS190000-id-2567696050/;Rua Fernando de Noronha, 518 - Centro, Londrina - PR; Centro;34;Apartamento;1;1;1;190000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-51m2-venda-RS305000-id-2669070093/;Avenida Martiniano do Valle Filho - Centro, Londrina - PR; Centro;51;Apartamento;2;1;1;305000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-2-bairros-londrina-com-garagem-41m2-venda-RS165000-id-2567870596/;Cidade Industrial 2, Londrina - PR;Cidade Industrial 2;41;Apartamento;2;1;1;165000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-82m2-venda-RS320000-id-2551941269/;Centro, Londrina - PR;Centro;82;Apartamento;3;2;1;320000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-industrial-2-bairros-londrina-com-garagem-45m2-venda-RS170000-id-2677396622/;Avenida Azilé Miguel Abujamra - Cidade Industrial 2, Londrina - PR; Cidade Industrial 2;45;Apartamento;2;1;1;170000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-64m2-venda-RS350000-id-2612708681/;Rua Paranaguá, 1900 - Centro, Londrina - PR; Centro;64;Apartamento;2;2;1;350000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-ipiranga-bairros-londrina-com-garagem-53m2-venda-RS260000-id-2645327476/;Rua Paes Leme, 63 - Vila Ipiranga, Londrina - PR; Vila Ipiranga;53;Apartamento;2;2;1;260000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-vila-ipiranga-bairros-londrina-com-garagem-103m2-venda-RS340000-id-2657443098/;Vila Ipiranga, Londrina - PR;Vila Ipiranga;103;Apartamento;3;2;1;340000
https://www.vivareal.com.br/imovel/casa-3-quartos-vitoria-regia-bairros-londrina-com-garagem-125m2-venda-RS290000-id-2656543669/;Rua das Siriemas, 45 - Vitoria Regia, Londrina - PR; Vitoria Regia;125;Casa;3;2;2;290000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-70m2-venda-RS280000-id-2664801429/;Rua Pio XII - Centro, Londrina - PR; Centro;70;Apartamento;2;2;1;280000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-ipiranga-bairros-londrina-com-garagem-38m2-venda-RS185000-id-2671154193/;Rua Uruguai, 1378 - Vila Ipiranga, Londrina - PR; Vila Ipiranga;38;Apartamento;1;1;1;185000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-85m2-venda-RS270000-id-2646604386/;Rua Brasil - Centro, Londrina - PR; Centro;85;Apartamento;3;3;1;270000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-61m2-venda-RS169000-id-2681038801/;Centro, Londrina - PR;Centro;61;Apartamento;2;2;;169000
